VOTER_ID,ELECTION_DATE,ELECTION_TYPE,ELECTION_NAME,VOTED,VOTING_METHOD,PRIMARY_PARTY_VOTED
510753814,2023-06-20,PR,2023 Primary,Y,EV,
510753814,2022-11-08,GE,2022 General,Y,ED,
510753814,2022-06-21,PR,2022 Primary,Y,ABS,
510753814,2020-11-03,GE,2020 General,Y,ED,
510753814,2020-06-23,PR,2020 Primary,Y,ED,
510753814,2019-11-05,GE,2019 General,Y,ED,
510753814,2018-11-06,GE,2018 General,Y,ED,
510753814,2017-11-07,GE,2017 General,Y,EV,
510753814,2016-11-08,GE,2016 General,Y,ED,
961067882,2024-11-05,GE,2024 General,Y,ABS,
961067882,2023-11-07,GE,2023 General,Y,ED,
961067882,2022-11-08,GE,2022 General,Y,EV,
961067882,2022-06-21,PR,2022 Primary,Y,EV,REP
961067882,2021-11-02,GE,2021 General,Y,ED,
498866784,2024-06-18,PR,2024 Primary,Y,EV,DEM
498866784,2023-11-07,GE,2023 General,Y,EV,
498866784,2022-11-08,GE,2022 General,Y,ED,
498866784,2021-11-02,GE,2021 General,Y,ABS,
498866784,2020-11-03,GE,2020 General,Y,ABS,
498866784,2018-11-06,GE,2018 General,Y,EV,
498866784,2018-06-12,PR,2018 Primary,Y,ED,DEM
498866784,2017-11-07,GE,2017 General,Y,EV,
498866784,2016-11-08,GE,2016 General,Y,EV,
165015165,2024-11-05,GE,2024 General,Y,ABS,
165015165,2019-11-05,GE,2019 General,Y,EV,
165015165,2018-11-06,GE,2018 General,Y,ED,
165015165,2017-11-07,GE,2017 General,Y,ABS,
165015165,2016-11-08,GE,2016 General,Y,ABS,
659903980,2024-11-05,GE,2024 General,Y,ED,
659903980,2024-06-18,PR,2024 Primary,Y,ED,
659903980,2023-06-20,PR,2023 Primary,Y,ED,
659903980,2021-11-02,GE,2021 General,Y,ED,
659903980,2021-06-08,PR,2021 Primary,Y,EV,
659903980,2020-11-03,GE,2020 General,Y,EV,
659903980,2018-11-06,GE,2018 General,Y,ED,
659903980,2016-11-08,GE,2016 General,Y,EV,
893276164,2024-06-18,PR,2024 Primary,Y,EV,DEM
893276164,2021-11-02,GE,2021 General,Y,ED,
893276164,2020-11-03,GE,2020 General,Y,ED,
893276164,2019-11-05,GE,2019 General,Y,ED,
893276164,2017-11-07,GE,2017 General,Y,ABS,
893276164,2016-11-08,GE,2016 General,Y,EV,
893276164,2016-03-01,PR,2016 Primary,Y,ED,DEM
464883950,2020-11-03,GE,2020 General,Y,ABS,
464883950,2019-11-05,GE,2019 General,Y,ED,
923935280,2024-06-18,PR,2024 Primary,Y,ED,REP
923935280,2021-11-02,GE,2021 General,Y,ED,
923935280,2020-11-03,GE,2020 General,Y,EV,
923935280,2016-11-08,GE,2016 General,Y,ED,
222435172,2024-11-05,GE,2024 General,Y,EV,
222435172,2023-11-07,GE,2023 General,Y,ED,
222435172,2020-11-03,GE,2020 General,Y,EV,
222435172,2017-11-07,GE,2017 General,Y,ED,
222435172,2016-11-08,GE,2016 General,Y,ED,
893410426,2022-11-08,GE,2022 General,Y,ED,
893410426,2020-11-03,GE,2020 General,Y,ED,
893410426,2019-11-05,GE,2019 General,Y,ED,
893410426,2018-11-06,GE,2018 General,Y,EV,
893410426,2017-11-07,GE,2017 General,Y,EV,
893410426,2016-11-08,GE,2016 General,Y,EV,
849987147,2024-11-05,GE,2024 General,Y,ED,
849987147,2022-06-21,PR,2022 Primary,Y,ED,DEM
849987147,2016-11-08,GE,2016 General,Y,ED,
146914391,2024-11-05,GE,2024 General,Y,EV,
146914391,2019-11-05,GE,2019 General,Y,EV,
353164777,2024-06-18,PR,2024 Primary,Y,ED,
353164777,2022-11-08,GE,2022 General,Y,ED,
353164777,2020-06-23,PR,2020 Primary,Y,ABS,
353164777,2019-11-05,GE,2019 General,Y,ED,
353164777,2017-11-07,GE,2017 General,Y,ED,
353164777,2016-11-08,GE,2016 General,Y,ED,
121833792,2024-11-05,GE,2024 General,Y,ED,
121833792,2023-11-07,GE,2023 General,Y,ED,
121833792,2023-06-20,PR,2023 Primary,Y,EV,REP
121833792,2022-06-21,PR,2022 Primary,Y,EV,REP
121833792,2021-11-02,GE,2021 General,Y,ED,
121833792,2020-11-03,GE,2020 General,Y,EV,
121833792,2020-06-23,PR,2020 Primary,Y,ED,REP
121833792,2019-11-05,GE,2019 General,Y,EV,
121833792,2018-11-06,GE,2018 General,Y,EV,
121833792,2017-11-07,GE,2017 General,Y,ABS,
121833792,2016-11-08,GE,2016 General,Y,EV,
898120571,2023-06-20,PR,2023 Primary,Y,ED,DEM
898120571,2022-11-08,GE,2022 General,Y,ABS,
898120571,2020-11-03,GE,2020 General,Y,EV,
898120571,2016-11-08,GE,2016 General,Y,ED,
488856231,2024-11-05,GE,2024 General,Y,ED,
488856231,2020-11-03,GE,2020 General,Y,EV,
488856231,2019-11-05,GE,2019 General,Y,EV,
488856231,2018-11-06,GE,2018 General,Y,ED,
488856231,2016-11-08,GE,2016 General,Y,ED,
488856231,2016-03-01,PR,2016 Primary,Y,EV,REP
851854702,2024-11-05,GE,2024 General,Y,ED,
851854702,2023-11-07,GE,2023 General,Y,ABS,
851854702,2022-11-08,GE,2022 General,Y,ABS,
851854702,2020-11-03,GE,2020 General,Y,EV,
851854702,2018-06-12,PR,2018 Primary,Y,ED,DEM
184675178,2024-11-05,GE,2024 General,Y,ED,
184675178,2023-06-20,PR,2023 Primary,Y,ABS,REP
184675178,2022-11-08,GE,2022 General,Y,ED,
184675178,2021-11-02,GE,2021 General,Y,ABS,
184675178,2020-11-03,GE,2020 General,Y,ED,
184675178,2019-11-05,GE,2019 General,Y,ABS,
184675178,2018-11-06,GE,2018 General,Y,ED,
184675178,2018-06-12,PR,2018 Primary,Y,ED,REP
184675178,2017-11-07,GE,2017 General,Y,EV,
184675178,2016-11-08,GE,2016 General,Y,ABS,
269737590,2024-11-05,GE,2024 General,Y,ED,
269737590,2024-06-18,PR,2024 Primary,Y,EV,REP
269737590,2023-11-07,GE,2023 General,Y,ED,
269737590,2022-11-08,GE,2022 General,Y,EV,
269737590,2021-11-02,GE,2021 General,Y,EV,
269737590,2020-11-03,GE,2020 General,Y,EV,
802506364,2024-11-05,GE,2024 General,Y,EV,
802506364,2021-11-02,GE,2021 General,Y,EV,
802506364,2019-11-05,GE,2019 General,Y,ED,
802506364,2016-11-08,GE,2016 General,Y,ED,
802506364,2016-03-01,PR,2016 Primary,Y,ED,DEM
644725317,2024-11-05,GE,2024 General,Y,EV,
644725317,2024-06-18,PR,2024 Primary,Y,ED,DEM
644725317,2023-11-07,GE,2023 General,Y,ABS,
644725317,2022-11-08,GE,2022 General,Y,ED,
644725317,2021-11-02,GE,2021 General,Y,ED,
644725317,2021-06-08,PR,2021 Primary,Y,EV,DEM
644725317,2019-11-05,GE,2019 General,Y,ABS,
644725317,2018-11-06,GE,2018 General,Y,ABS,
644725317,2017-11-07,GE,2017 General,Y,EV,
467570835,2024-11-05,GE,2024 General,Y,EV,
467570835,2024-06-18,PR,2024 Primary,Y,EV,REP
467570835,2023-11-07,GE,2023 General,Y,ABS,
467570835,2023-06-20,PR,2023 Primary,Y,ED,REP
467570835,2022-11-08,GE,2022 General,Y,ED,
467570835,2021-11-02,GE,2021 General,Y,EV,
467570835,2019-11-05,GE,2019 General,Y,ED,
467570835,2018-11-06,GE,2018 General,Y,ED,
467570835,2016-11-08,GE,2016 General,Y,ED,
247395716,2017-11-07,GE,2017 General,Y,ED,
410812797,2023-11-07,GE,2023 General,Y,EV,
486066116,2024-11-05,GE,2024 General,Y,ED,
486066116,2023-06-20,PR,2023 Primary,Y,EV,REP
486066116,2021-11-02,GE,2021 General,Y,ED,
486066116,2020-11-03,GE,2020 General,Y,ABS,
486066116,2018-11-06,GE,2018 General,Y,ED,
486066116,2017-11-07,GE,2017 General,Y,ED,
486066116,2016-11-08,GE,2016 General,Y,EV,
830461452,2024-11-05,GE,2024 General,Y,EV,
830461452,2022-11-08,GE,2022 General,Y,EV,
830461452,2021-11-02,GE,2021 General,Y,ED,
830461452,2020-11-03,GE,2020 General,Y,EV,
830461452,2019-11-05,GE,2019 General,Y,ED,
830461452,2018-11-06,GE,2018 General,Y,ABS,
505333621,2023-06-20,PR,2023 Primary,Y,ABS,REP
505333621,2020-11-03,GE,2020 General,Y,EV,
410594268,2024-11-05,GE,2024 General,Y,ED,
410594268,2023-06-20,PR,2023 Primary,Y,EV,
410594268,2021-06-08,PR,2021 Primary,Y,ED,
410594268,2020-11-03,GE,2020 General,Y,ED,
410594268,2018-11-06,GE,2018 General,Y,EV,
410594268,2017-11-07,GE,2017 General,Y,ED,
410594268,2016-03-01,PR,2016 Primary,Y,ED,
199282456,2024-11-05,GE,2024 General,Y,EV,
199282456,2023-11-07,GE,2023 General,Y,ED,
199282456,2020-11-03,GE,2020 General,Y,EV,
199282456,2019-11-05,GE,2019 General,Y,ABS,
199282456,2018-11-06,GE,2018 General,Y,ED,
199282456,2017-11-07,GE,2017 General,Y,EV,
356979659,2024-11-05,GE,2024 General,Y,EV,
797818850,2024-11-05,GE,2024 General,Y,EV,
797818850,2023-11-07,GE,2023 General,Y,ED,
797818850,2021-11-02,GE,2021 General,Y,ABS,
797818850,2020-11-03,GE,2020 General,Y,EV,
797818850,2019-11-05,GE,2019 General,Y,EV,
797818850,2018-11-06,GE,2018 General,Y,ABS,
797818850,2017-11-07,GE,2017 General,Y,EV,
797818850,2016-11-08,GE,2016 General,Y,EV,
797818850,2016-03-01,PR,2016 Primary,Y,ABS,REP
877564713,2024-11-05,GE,2024 General,Y,ED,
877564713,2022-11-08,GE,2022 General,Y,ABS,
877564713,2019-11-05,GE,2019 General,Y,ED,
877564713,2018-11-06,GE,2018 General,Y,ED,
877564713,2017-11-07,GE,2017 General,Y,ABS,
877564713,2016-11-08,GE,2016 General,Y,EV,
877564713,2016-03-01,PR,2016 Primary,Y,ABS,REP
956905222,2024-06-18,PR,2024 Primary,Y,EV,
364774064,2024-11-05,GE,2024 General,Y,ED,
364774064,2023-11-07,GE,2023 General,Y,EV,
364774064,2022-11-08,GE,2022 General,Y,ED,
364774064,2021-11-02,GE,2021 General,Y,ABS,
364774064,2019-11-05,GE,2019 General,Y,ED,
364774064,2018-11-06,GE,2018 General,Y,ED,
364774064,2017-11-07,GE,2017 General,Y,ED,
364774064,2016-11-08,GE,2016 General,Y,ED,
364774064,2016-03-01,PR,2016 Primary,Y,ED,DEM
860603328,2023-11-07,GE,2023 General,Y,EV,
860603328,2020-11-03,GE,2020 General,Y,ED,
723326773,2022-06-21,PR,2022 Primary,Y,EV,
723326773,2020-06-23,PR,2020 Primary,Y,ABS,
723326773,2018-11-06,GE,2018 General,Y,EV,
723326773,2017-11-07,GE,2017 General,Y,ED,
723326773,2016-11-08,GE,2016 General,Y,ED,
596126873,2024-11-05,GE,2024 General,Y,ED,
596126873,2023-06-20,PR,2023 Primary,Y,ED,
596126873,2022-06-21,PR,2022 Primary,Y,ED,
596126873,2021-11-02,GE,2021 General,Y,EV,
596126873,2018-11-06,GE,2018 General,Y,ED,
296542559,2020-11-03,GE,2020 General,Y,EV,
296542559,2016-11-08,GE,2016 General,Y,ED,
296542559,2016-03-01,PR,2016 Primary,Y,ED,DEM
648473746,2024-11-05,GE,2024 General,Y,ED,
648473746,2019-11-05,GE,2019 General,Y,ED,
648473746,2018-11-06,GE,2018 General,Y,ED,
652348887,2024-11-05,GE,2024 General,Y,EV,
652348887,2023-11-07,GE,2023 General,Y,EV,
652348887,2022-11-08,GE,2022 General,Y,ED,
652348887,2022-06-21,PR,2022 Primary,Y,ED,DEM
652348887,2021-11-02,GE,2021 General,Y,ED,
652348887,2020-11-03,GE,2020 General,Y,ED,
652348887,2019-11-05,GE,2019 General,Y,ED,
527044165,2024-11-05,GE,2024 General,Y,EV,
527044165,2018-11-06,GE,2018 General,Y,ABS,
207873599,2024-06-18,PR,2024 Primary,Y,ED,REP
207873599,2020-11-03,GE,2020 General,Y,EV,
207873599,2019-11-05,GE,2019 General,Y,ED,
207873599,2018-11-06,GE,2018 General,Y,EV,
381519299,2024-11-05,GE,2024 General,Y,ED,
381519299,2022-11-08,GE,2022 General,Y,ED,
381519299,2021-11-02,GE,2021 General,Y,ABS,
381519299,2020-06-23,PR,2020 Primary,Y,ABS,DEM
381519299,2018-11-06,GE,2018 General,Y,EV,
381519299,2016-03-01,PR,2016 Primary,Y,ED,DEM
896387342,2023-11-07,GE,2023 General,Y,ED,
896387342,2022-11-08,GE,2022 General,Y,EV,
866673993,2024-11-05,GE,2024 General,Y,ABS,
866673993,2022-11-08,GE,2022 General,Y,ABS,
866673993,2021-11-02,GE,2021 General,Y,EV,
866673993,2020-06-23,PR,2020 Primary,Y,EV,DEM
866673993,2019-11-05,GE,2019 General,Y,ABS,
866673993,2018-11-06,GE,2018 General,Y,ED,
866673993,2016-11-08,GE,2016 General,Y,ABS,
866673993,2016-03-01,PR,2016 Primary,Y,EV,DEM
110302352,2024-06-18,PR,2024 Primary,Y,ED,DEM
110302352,2017-11-07,GE,2017 General,Y,ED,
110302352,2016-11-08,GE,2016 General,Y,ED,
536489528,2024-11-05,GE,2024 General,Y,EV,
536489528,2024-06-18,PR,2024 Primary,Y,EV,DEM
536489528,2022-11-08,GE,2022 General,Y,ED,
536489528,2018-11-06,GE,2018 General,Y,ED,
536489528,2016-11-08,GE,2016 General,Y,ED,
198761306,2024-11-05,GE,2024 General,Y,ABS,
198761306,2023-11-07,GE,2023 General,Y,EV,
198761306,2023-06-20,PR,2023 Primary,Y,ED,DEM
198761306,2022-06-21,PR,2022 Primary,Y,ED,DEM
198761306,2020-11-03,GE,2020 General,Y,ED,
198761306,2018-11-06,GE,2018 General,Y,EV,
198761306,2017-11-07,GE,2017 General,Y,ABS,
198761306,2016-11-08,GE,2016 General,Y,EV,
735185398,2024-11-05,GE,2024 General,Y,ED,
735185398,2023-11-07,GE,2023 General,Y,EV,
735185398,2022-06-21,PR,2022 Primary,Y,EV,REP
735185398,2021-11-02,GE,2021 General,Y,EV,
735185398,2020-11-03,GE,2020 General,Y,ABS,
735185398,2020-06-23,PR,2020 Primary,Y,EV,REP
735185398,2018-11-06,GE,2018 General,Y,EV,
735185398,2017-11-07,GE,2017 General,Y,EV,
810966933,2024-11-05,GE,2024 General,Y,EV,
810966933,2022-11-08,GE,2022 General,Y,EV,
927672827,2024-11-05,GE,2024 General,Y,EV,
442219677,2024-11-05,GE,2024 General,Y,ED,
442219677,2024-06-18,PR,2024 Primary,Y,ED,DEM
442219677,2020-06-23,PR,2020 Primary,Y,ED,DEM
442219677,2017-11-07,GE,2017 General,Y,ED,
298514700,2023-11-07,GE,2023 General,Y,ED,
298514700,2022-11-08,GE,2022 General,Y,EV,
298514700,2021-11-02,GE,2021 General,Y,ED,
298514700,2020-11-03,GE,2020 General,Y,EV,
298514700,2019-11-05,GE,2019 General,Y,ED,
298514700,2018-11-06,GE,2018 General,Y,ED,
298514700,2018-06-12,PR,2018 Primary,Y,EV,REP
298514700,2017-11-07,GE,2017 General,Y,ED,
298514700,2016-11-08,GE,2016 General,Y,EV,
298514700,2016-03-01,PR,2016 Primary,Y,ED,REP
235491190,2023-11-07,GE,2023 General,Y,ABS,
235491190,2021-11-02,GE,2021 General,Y,ABS,
235491190,2020-11-03,GE,2020 General,Y,ABS,
235491190,2018-06-12,PR,2018 Primary,Y,EV,DEM
235491190,2017-11-07,GE,2017 General,Y,ABS,
531343461,2024-11-05,GE,2024 General,Y,EV,
531343461,2022-11-08,GE,2022 General,Y,EV,
531343461,2017-11-07,GE,2017 General,Y,ED,
367888133,2023-11-07,GE,2023 General,Y,ED,
367888133,2019-11-05,GE,2019 General,Y,ED,
367888133,2018-11-06,GE,2018 General,Y,ABS,
367888133,2017-11-07,GE,2017 General,Y,ED,
861678303,2024-11-05,GE,2024 General,Y,EV,
861678303,2024-06-18,PR,2024 Primary,Y,ED,REP
861678303,2023-11-07,GE,2023 General,Y,ABS,
861678303,2022-11-08,GE,2022 General,Y,ED,
861678303,2021-11-02,GE,2021 General,Y,EV,
861678303,2018-11-06,GE,2018 General,Y,ED,
861678303,2018-06-12,PR,2018 Primary,Y,EV,REP
861678303,2017-11-07,GE,2017 General,Y,EV,
160961339,2024-11-05,GE,2024 General,Y,ED,
160961339,2023-11-07,GE,2023 General,Y,ED,
160961339,2021-11-02,GE,2021 General,Y,ED,
282521788,2024-11-05,GE,2024 General,Y,ED,
105061082,2024-11-05,GE,2024 General,Y,ABS,
105061082,2023-06-20,PR,2023 Primary,Y,ABS,REP
105061082,2022-11-08,GE,2022 General,Y,ABS,
105061082,2021-11-02,GE,2021 General,Y,ED,
105061082,2020-11-03,GE,2020 General,Y,ED,
105061082,2019-11-05,GE,2019 General,Y,ABS,
105061082,2018-11-06,GE,2018 General,Y,ED,
105061082,2016-11-08,GE,2016 General,Y,EV,
105061082,2016-03-01,PR,2016 Primary,Y,EV,REP
345262270,2024-11-05,GE,2024 General,Y,ED,
345262270,2023-11-07,GE,2023 General,Y,ED,
345262270,2022-06-21,PR,2022 Primary,Y,EV,DEM
345262270,2021-11-02,GE,2021 General,Y,ED,
345262270,2020-11-03,GE,2020 General,Y,ED,
345262270,2018-11-06,GE,2018 General,Y,ABS,
345262270,2017-11-07,GE,2017 General,Y,ABS,
852399189,2024-11-05,GE,2024 General,Y,ED,
852399189,2023-11-07,GE,2023 General,Y,EV,
852399189,2023-06-20,PR,2023 Primary,Y,ED,REP
852399189,2022-11-08,GE,2022 General,Y,ED,
893001503,2024-11-05,GE,2024 General,Y,ABS,
893001503,2023-11-07,GE,2023 General,Y,EV,
893001503,2021-11-02,GE,2021 General,Y,ED,
893001503,2020-06-23,PR,2020 Primary,Y,ED,
893001503,2019-11-05,GE,2019 General,Y,ABS,
893001503,2018-11-06,GE,2018 General,Y,ED,
893001503,2018-06-12,PR,2018 Primary,Y,ED,
893001503,2017-11-07,GE,2017 General,Y,ED,
856524312,2024-06-18,PR,2024 Primary,Y,EV,DEM
856524312,2023-11-07,GE,2023 General,Y,ABS,
856524312,2023-06-20,PR,2023 Primary,Y,ED,DEM
856524312,2021-06-08,PR,2021 Primary,Y,ED,DEM
856524312,2020-11-03,GE,2020 General,Y,ED,
856524312,2018-06-12,PR,2018 Primary,Y,ABS,DEM
856524312,2017-11-07,GE,2017 General,Y,ED,
856524312,2016-11-08,GE,2016 General,Y,ED,
427059567,2024-11-05,GE,2024 General,Y,ED,
427059567,2024-06-18,PR,2024 Primary,Y,ABS,DEM
427059567,2023-11-07,GE,2023 General,Y,ED,
427059567,2022-11-08,GE,2022 General,Y,ED,
427059567,2019-11-05,GE,2019 General,Y,ED,
427059567,2018-06-12,PR,2018 Primary,Y,ED,DEM
427059567,2017-11-07,GE,2017 General,Y,ED,
427059567,2016-11-08,GE,2016 General,Y,EV,
779936769,2023-11-07,GE,2023 General,Y,ED,
779936769,2022-11-08,GE,2022 General,Y,ED,
779936769,2020-11-03,GE,2020 General,Y,EV,
779936769,2016-03-01,PR,2016 Primary,Y,ED,REP
833784779,2024-11-05,GE,2024 General,Y,EV,
833784779,2023-11-07,GE,2023 General,Y,ED,
833784779,2021-11-02,GE,2021 General,Y,EV,
833784779,2020-11-03,GE,2020 General,Y,EV,
833784779,2019-11-05,GE,2019 General,Y,ABS,
833784779,2018-11-06,GE,2018 General,Y,ED,
833784779,2018-06-12,PR,2018 Primary,Y,ED,REP
833784779,2017-11-07,GE,2017 General,Y,ED,
833784779,2016-11-08,GE,2016 General,Y,EV,
795389979,2023-11-07,GE,2023 General,Y,EV,
795389979,2023-06-20,PR,2023 Primary,Y,ED,REP
664138658,2024-11-05,GE,2024 General,Y,ED,
664138658,2023-11-07,GE,2023 General,Y,ABS,
664138658,2019-11-05,GE,2019 General,Y,EV,
306708606,2024-11-05,GE,2024 General,Y,ABS,
306708606,2020-11-03,GE,2020 General,Y,ED,
306708606,2016-11-08,GE,2016 General,Y,ED,
213962171,2024-11-05,GE,2024 General,Y,EV,
213962171,2020-11-03,GE,2020 General,Y,EV,
213962171,2016-03-01,PR,2016 Primary,Y,ABS,REP
595279737,2024-11-05,GE,2024 General,Y,ED,
595279737,2024-06-18,PR,2024 Primary,Y,EV,REP
595279737,2022-11-08,GE,2022 General,Y,EV,
595279737,2021-11-02,GE,2021 General,Y,ED,
595279737,2020-11-03,GE,2020 General,Y,ED,
595279737,2020-06-23,PR,2020 Primary,Y,EV,REP
595279737,2019-11-05,GE,2019 General,Y,ED,
678336713,2024-06-18,PR,2024 Primary,Y,EV,DEM
678336713,2022-11-08,GE,2022 General,Y,ED,
678336713,2020-11-03,GE,2020 General,Y,ED,
678336713,2019-11-05,GE,2019 General,Y,ED,
678336713,2018-11-06,GE,2018 General,Y,EV,
678336713,2017-11-07,GE,2017 General,Y,EV,
678336713,2016-11-08,GE,2016 General,Y,ED,
759316106,2024-11-05,GE,2024 General,Y,ED,
759316106,2023-11-07,GE,2023 General,Y,ED,
492234424,2024-11-05,GE,2024 General,Y,ED,
492234424,2023-11-07,GE,2023 General,Y,EV,
492234424,2021-11-02,GE,2021 General,Y,ED,
273136853,2024-11-05,GE,2024 General,Y,ED,
273136853,2023-11-07,GE,2023 General,Y,ED,
963955258,2024-11-05,GE,2024 General,Y,ED,
963955258,2022-11-08,GE,2022 General,Y,EV,
963955258,2022-06-21,PR,2022 Primary,Y,EV,DEM
963955258,2020-11-03,GE,2020 General,Y,ABS,
963955258,2019-11-05,GE,2019 General,Y,ED,
963955258,2017-11-07,GE,2017 General,Y,ABS,
963955258,2016-11-08,GE,2016 General,Y,EV,
807899575,2024-11-05,GE,2024 General,Y,ED,
807899575,2024-06-18,PR,2024 Primary,Y,EV,REP
807899575,2023-11-07,GE,2023 General,Y,ABS,
807899575,2022-11-08,GE,2022 General,Y,ED,
807899575,2019-11-05,GE,2019 General,Y,EV,
807899575,2018-11-06,GE,2018 General,Y,ED,
316581500,2024-11-05,GE,2024 General,Y,ED,
225637455,2020-11-03,GE,2020 General,Y,ABS,
225637455,2018-11-06,GE,2018 General,Y,ED,
626998235,2024-06-18,PR,2024 Primary,Y,ED,REP
626998235,2023-11-07,GE,2023 General,Y,EV,
626998235,2023-06-20,PR,2023 Primary,Y,ED,REP
626998235,2019-11-05,GE,2019 General,Y,ED,
852384450,2024-11-05,GE,2024 General,Y,EV,
469517811,2021-06-08,PR,2021 Primary,Y,ED,
469517811,2020-11-03,GE,2020 General,Y,ED,
469517811,2018-11-06,GE,2018 General,Y,EV,
713791169,2024-11-05,GE,2024 General,Y,ED,
713791169,2023-11-07,GE,2023 General,Y,EV,
449182252,2024-11-05,GE,2024 General,Y,ABS,
449182252,2023-11-07,GE,2023 General,Y,ED,
449182252,2023-06-20,PR,2023 Primary,Y,ED,REP
449182252,2021-11-02,GE,2021 General,Y,ED,
449182252,2020-11-03,GE,2020 General,Y,ED,
449182252,2020-06-23,PR,2020 Primary,Y,EV,REP
449182252,2018-11-06,GE,2018 General,Y,ED,
449182252,2016-11-08,GE,2016 General,Y,EV,
449182252,2016-03-01,PR,2016 Primary,Y,EV,REP
246351498,2024-11-05,GE,2024 General,Y,ED,
586155117,2024-11-05,GE,2024 General,Y,ED,
